filterType,params,variance,latency,rawThresh,filtThresh,peakRaw,peakFilt
exponential,α=0.1380,1.6258,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1390,1.6277,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1400,1.6296,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1410,1.6315,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1420,1.6334,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1430,1.6353,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1440,1.6373,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1450,1.6392,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1460,1.6412,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1470,1.6432,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1480,1.6452,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1490,1.6472,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1500,1.6492,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1510,1.6513,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1520,1.6533,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1530,1.6554,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1540,1.6575,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1550,1.6596,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1560,1.6617,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1570,1.6638,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1580,1.6659,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1590,1.6681,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1600,1.6702,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1610,1.6724,0.00,0.00,0.00,315.12,315.12
