GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
95,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,6,107.61000000000001,208.89000000000001,135,6,3.0052,390.56,683.00,107.61,521.64,463.28,535.29,255.32,1089951.40,1090988.70,1093993.90
96,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,7,107.61000000000001,208.89000000000001,315,7,1.8654,435.07,535.29,464.21,838.57,152.26,683.00,316.50,1094536.00,1095514.20,1097379.60
97,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,0,63.300000000000004,158.25,0,0,2.9954,182.01,683.00,316.50,863.98,335.83,841.25,316.50,1122970.80,1123690.50,1126685.90
98,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,1,63.300000000000004,158.25,180,1,2.9877,333.90,841.25,316.50,507.35,315.47,683.00,316.50,1127243.00,1127275.70,1130263.40
99,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,2,63.300000000000004,158.25,45,2,6.5358,274.16,524.75,316.50,778.06,421.39,636.65,428.40,1130824.70,1131443.90,1137979.70
100,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,3,63.300000000000004,158.25,225,3,5.4293,314.08,794.90,428.40,567.45,211.80,683.00,316.50,1138549.10,1138579.30,1144008.60
101,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,4,63.300000000000004,158.25,90,4,5.4655,299.76,571.10,204.60,690.16,479.70,571.10,362.85,1144554.70,1145191.80,1150657.30
102,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,5,63.300000000000004,158.25,270,5,5.0281,310.59,683.00,474.75,671.97,164.36,683.00,316.50,1151194.80,1151513.90,1156542.00
103,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,6,63.300000000000004,158.25,135,6,8.5617,301.79,683.00,158.25,590.85,445.63,571.10,270.15,1157104.40,1157801.00,1166362.70
104,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,7,63.300000000000004,158.25,315,7,3.1353,297.88,571.10,428.40,779.81,215.86,683.00,316.50,1166906.60,1167560.80,1170696.10
105,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,0,63.300000000000004,208.89000000000001,0,0,3.1158,237.99,683.00,316.50,920.66,328.96,891.89,316.50,1184213.20,1185107.80,1188223.60
106,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,1,63.300000000000004,208.89000000000001,180,1,5.5844,401.53,891.89,316.50,491.12,341.25,683.00,316.50,1188728.60,1188760.20,1194344.60
107,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,2,63.300000000000004,208.89000000000001,45,2,7.0574,383.47,474.11,316.50,825.65,469.69,621.82,464.21,1194911.60,1194945.30,1202002.70
108,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,3,63.300000000000004,208.89000000000001,225,3,10.3366,422.04,830.71,464.21,519.09,179.58,683.00,316.50,1202567.00,1203106.40,1213443.00
109,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,4,63.300000000000004,208.89000000000001,90,4,6.0493,375.11,535.29,168.79,685.24,512.63,535.29,377.68,1213980.10,1214913.50,1220962.80
110,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,5,63.300000000000004,208.89000000000001,270,5,5.4082,403.36,683.00,525.39,703.13,122.53,683.00,316.50,1221528.70,1222334.00,1227742.20
111,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,6,63.300000000000004,208.89000000000001,135,6,6.8107,381.85,683.00,107.61,554.24,467.10,535.29,255.32,1228301.00,1228513.30,1235324.00
